date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:34:04	75820/75820	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Mar%202022%2008:41:02%20GMT	https://templates.envytheme.com/finix/default/index-2.html	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/index-2.html	(from )
02:34:05	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Jun%202023%2000:34:37%20GMT	https://templates.envytheme.com/robots.txt		(from )
02:34:06	163826/163826	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2da7-27ff2%22	https://templates.envytheme.com/finix/default/assets/css/bootstrap.min.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/finix/default/index-2.html)
02:34:07	60561/60561	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2da7-ec91%22	https://templates.envytheme.com/finix/default/assets/css/animate.min.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/animate.min.css	(from https://templates.envytheme.com/finix/default/index-2.html)
02:34:08	7232/7232	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2da8-1c40%22	https://templates.envytheme.com/finix/default/assets/css/meanmenu.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/meanmenu.css	(from https://templates.envytheme.com/finix/default/index-2.html)
02:34:09	65758/65758	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2da7-100de%22	https://templates.envytheme.com/finix/default/assets/css/boxicons.min.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/boxicons.min.css	(from https://templates.envytheme.com/finix/default/index-2.html)
02:34:10	3184/3184	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2da8-c70%22	https://templates.envytheme.com/finix/default/assets/css/flaticon.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/flaticon.css	(from https://templates.envytheme.com/finix/default/index-2.html)
02:34:10	3184/3184	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2da9-c70%22	https://templates.envytheme.com/finix/default/assets/css/owl.carousel.min.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/finix/default/index-2.html)
02:34:11	846/846	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2da9-34e%22	https://templates.envytheme.com/finix/default/assets/css/owl.theme.default.min.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/owl.theme.default.min.css	(from https://templates.envytheme.com/finix/default/index-2.html)
02:34:12	5235/5235	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2da8-1473%22	https://templates.envytheme.com/finix/default/assets/css/magnific-popup.min.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/magnific-popup.min.css	(from https://templates.envytheme.com/finix/default/index-2.html)
02:34:13	3070/3070	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2da8-bfe%22	https://templates.envytheme.com/finix/default/assets/css/nice-select.min.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/nice-select.min.css	(from https://templates.envytheme.com/finix/default/index-2.html)
02:34:14	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2da9-c2c%22	https://templates.envytheme.com/finix/default/assets/css/odometer.min.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/odometer.min.css	(from https://templates.envytheme.com/finix/default/index-2.html)
02:34:15	110471/110471	---MCZ	200	added ('OK')	text/css	etag:W/%22621f2daa-1af87%22	https://templates.envytheme.com/finix/default/assets/css/style.css	C:/Users/PROGRESSIVE/Desktop/finix/templates.envytheme.com/finix/default/assets/css/style.css	(from https://templates.envytheme.com/finix/default/index-2.html)
